Status,Group,Channel Name,URL,Reason,LatencyMs
Dead,"BR – NOVOS","16:00 | ARSENAL X COVENTRY","http://up.kiwi/351921603109/34939156/1293825","HTTP 404",1919
Dead,"BR – NOVOS","19:00 | LIVERPOOL MONTEVIDEO X CERRO","http://up.kiwi/351921603109/34939156/1293826","HTTP 503",1579
Dead,"BR – NOVOS","23:00 | SAN DIEGO FAVE (F) X UTAH ROYALS (F)","http://up.kiwi/351921603109/34939156/1293827","HTTP 503",2121
Dead,"BR – NOVOS","[11:00] GUARANI X CAXIAS FHD","http://tjtor8411.com:80/Osiel123/Felicidade321/317686.ts","No data (insufficient stream data: 235 bytes)",525
Dead,"BR – NOVOS","[16:00] AMAZONAS X ANÁPOLIS FHD","http://tjtor8411.com:80/Osiel123/Felicidade321/317687.ts","No data (insufficient stream data: 235 bytes)",959
Dead,"BR – NOVOS","[16:00] CATAR X SUÍÇA FHD","http://tjtor8411.com:80/Osiel123/Felicidade321/317688.ts","No data (insufficient stream data: 235 bytes)",1471
Dead,"BR – NOVOS","[16:00] CATAR X SUÍÇA FHD [2]","http://tjtor8411.com:80/Osiel123/Felicidade321/383030.ts","No data (insufficient stream data: 235 bytes)",777
Dead,"BR – NOVOS","[19:00] BRASIL X MARROCOS FHD","http://tjtor8411.com:80/Osiel123/Felicidade321/317689.ts","No data (insufficient stream data: 235 bytes)",987
Dead,"BR – NOVOS","[19:00] BRASIL X MARROCOS FHD [2]","http://tjtor8411.com:80/Osiel123/Felicidade321/383033.ts","No data (insufficient stream data: 235 bytes)",425
Dead,"BR – NOVOS","[22:00] HAITI X ESCÓCIA FHD","http://tjtor8411.com:80/Osiel123/Felicidade321/317690.ts","No data (insufficient stream data: 235 bytes)",982
Dead,"BR – NOVOS","[22:00] HAITI X ESCÓCIA FHD [2]","http://tjtor8411.com:80/Osiel123/Felicidade321/383034.ts","No data (insufficient stream data: 235 bytes)",774
Dead,"BR – NOVOS","JOGOS DO DIA","http://up.kiwi/351921603109/34939156/297023","HTTP 404",9051
Dead,"BR – NOVOS","RBI HD","http://up.kiwi/351921603109/34939156/965","HTTP 503",1894
Dead,"BR – NOVOS","RBI SD","http://up.kiwi/351921603109/34939156/966","HTTP 404",1799
Alive,"BR – NOVOS","RTP 1","https://streaming-live.rtp.pt/liverepeater/smil:rtp1HD.smil/playlist.m3u8","",782
Alive,"BR – NOVOS","RTP NOTÍCIAS","https://streaming-live.rtp.pt/livetvhlsDVR/rtpnHDdvr.smil/playlist.m3u8","",1499
Dead,"BR – NOVOS","STAR COMEDY","http://znty.dyndns.org:5010/hls/foxcomedy.m3u8","Timeout",20279
Dead,"BR – NOVOS","STAR MOVIES","http://znty.dyndns.org:5010/hls/foxm.m3u8","Timeout",20279
Dead,"BR – NOVOS","TV TEM BAURU FHD","http://up.kiwi/351921603109/34939156/296756","HTTP 503",2110
Dead,"BR – NOVOS","TV TEM BAURU HD","http://up.kiwi/351921603109/34939156/296757","HTTP 503",2105
Dead,"BR – NOVOS","TV TEM BAURU SD","http://up.kiwi/351921603109/34939156/296758","HTTP 503",1887
Dead,"BR – NOVOS","TVE INTERNATIONAL HD","http://up.kiwi/351921603109/34939156/296348","HTTP 404",1191
Dead,"BR – NOVOS","TVE INTERNATIONAL SD","http://up.kiwi/351921603109/34939156/296349","HTTP 503",1893
Dead,"BR – NOVOS","X-SPORTS FHD","http://up.kiwi/351921603109/34939156/303211","HTTP 503",1879
Alive,"BR – NOVOS","X-SPORTS HD","http://up.kiwi/351921603109/34939156/303210","",2879
Alive,"BR – 24H",",🔴 OS SIMPSONS 24H","http://15.235.9.200:14984/","",590
Dead,"BR – 24H","1001 NOITES","https://cdn.jmvstream.com/w/LVW-8155/ngrp:LVW8155_41E1ciuCvO_all/playlist.m3u8","HTTP 404",2338
Dead,"BR – 24H","24H 3 BODY PROBLEM","http://up.kiwi/351921603109/34939156/1293545","HTTP 503",2099
Alive,"BR – 24H","24H A CASA CORUJA","http://up.kiwi/351921603109/34939156/1293449","",3620
Alive,"BR – 24H","24H A GRANDE FAMILIA","http://up.kiwi/351921603109/34939156/1293411","",3202
Dead,"BR – 24H","24H A LENDA DE KORRA","http://up.kiwi/351921603109/34939156/1293451","HTTP 503",2085
Alive,"BR – 24H","24H A VIAGEM","http://up.kiwi/351921603109/34939156/1293564","",3369
Alive,"BR – 24H","24H ABBOTT ELEMENTARY","http://up.kiwi/351921603109/34939156/1293412","",3990
Dead,"BR – 24H","24H ALICE IN BORDERLAND","http://up.kiwi/351921603109/34939156/1293402","HTTP 503",2085
Alive,"BR – 24H","24H ALMA GEMEA","http://up.kiwi/351921603109/34939156/1293565","",3762
Alive,"BR – 24H","24H AMERICAN DAD","http://up.kiwi/351921603109/34939156/1293327","",2226
Dead,"BR – 24H","24H AMERICAN GODS","http://up.kiwi/351921603109/34939156/1293546","HTTP 503",1875
Alive,"BR – 24H","24H AMPHIBIA","http://up.kiwi/351921603109/34939156/1293453","",3790
Alive,"BR – 24H","24H ANDOR","http://up.kiwi/351921603109/34939156/1293547","",2577
Dead,"BR – 24H","24H ANIMANIACS","http://up.kiwi/351921603109/34939156/1293454","HTTP 503",2070
Dead,"BR – 24H","24H APENAS UM SHOW","http://up.kiwi/351921603109/34939156/1293455","HTTP 503",2079
Dead,"BR – 24H","24H AQUA TEEN","http://up.kiwi/351921603109/34939156/1293328","HTTP 503",2081
Alive,"BR – 24H","24H ARCANE","http://up.kiwi/351921603109/34939156/1293548","",3711
Alive,"BR – 24H","24H ARCHIVE 81","http://up.kiwi/351921603109/34939156/1293588","",3906
Dead,"BR – 24H","24H ATTACK ON TITAN","http://up.kiwi/351921603109/34939156/1293343","HTTP 503",2072
Alive,"BR – 24H","24H AVENIDA BRASIL","http://up.kiwi/351921603109/34939156/1293566","",3028
Alive,"BR – 24H","24H BABY LOONEY TUNES","http://up.kiwi/351921603109/34939156/1293457","",2109
Alive,"BR – 24H","24H BANSHEE","http://up.kiwi/351921603109/34939156/1293317","",3127
Alive,"BR – 24H","24H BARRY","http://up.kiwi/351921603109/34939156/1293414","",3085
Alive,"BR – 24H","24H BATMAN A SERIE ANIMADA","http://up.kiwi/351921603109/34939156/1293458","",2116
Dead,"BR – 24H","24H BEAVIS AND BUTT-HEAD","http://up.kiwi/351921603109/34939156/1293329","HTTP 503",2064
Alive,"BR – 24H","24H BEEF","http://up.kiwi/351921603109/34939156/1293517","",6518
Alive,"BR – 24H","24H BELISSIMA","http://up.kiwi/351921603109/34939156/1293567","",3473
Alive,"BR – 24H","24H BIG BROTHER BRASIL","http://up.kiwi/351921603109/34939156/1293580","",3771
Dead,"BR – 24H","24H BLACK BIRD","http://up.kiwi/351921603109/34939156/1293519","HTTP 503",1854
Alive,"BR – 24H","24H BLACK CLOVER","http://up.kiwi/351921603109/34939156/1293344","",2054
Alive,"BR – 24H","24H BLACK MIRROR","http://up.kiwi/351921603109/34939156/1293549","",2450
Alive,"BR – 24H","24H BLEACH","http://up.kiwi/351921603109/34939156/1293345","",2621
Alive,"BR – 24H","24H BLUE EYE SAMURAI","http://up.kiwi/351921603109/34939156/1293330","",2480
